ts,data
1714167241622649,1.80942
1714167241626586,1.85034
1714167241631432,1.92713
1714167241638584,1.98318
1714167241642891,2.00168
1714167241647635,2.01289
1714167241650665,2.0852
1714167241659765,2.05998
1714167241664743,2.11267
1714167241670056,2.10818
1714167241672625,2.09922
1714167241676609,2.08072
1714167241680586,2.0852
1714167241684553,2.05661
1714167241688638,2.04484
1714167241692844,2.00617
1714167241697343,1.9787
1714167241700677,1.9148
1714167241705683,1.90191
1714167241708594,1.85762
1714167241712632,1.79821
1714167241716607,1.72758
1714167241720573,1.6833
1714167241724665,1.64238
1714167241729939,1.61883
1714167241734506,1.56278
1714167241738584,1.53756
1714167241742610,1.49664
1714167241746647,1.48374
1714167241750674,1.46132
1714167241756056,1.46413
1714167241758676,1.44899
1714167241762683,1.44843
1714167241766786,1.47029
1714167241770613,1.49608
1714167241774760,1.50224
1714167241778722,1.53587
1714167241782679,1.56054
1714167241786676,1.59697
1714167241790689,1.58969
1714167241794642,1.62612
1714167241798726,1.6648
1714167241821371,1.86043
1714167241826634,1.8935
1714167241830737,1.98374
1714167241834788,2.02354
1714167241838759,2.06951
1714167241842753,2.09641
1714167241846758,2.14574
1714167241850637,2.2102
1714167241854792,2.23767
1714167241858660,2.21805
1714167241863301,2.24271
1714167241866812,2.1704
1714167241878773,2.13733
1714167241882823,2.1009
1714167241886606,2.0454
1714167241890660,1.8991
1714167241894634,1.84417
1714167241898683,1.77242
1714167241902671,1.6917
1714167241906717,1.50504
1714167241910810,1.44619
1714167241914703,1.38509
1714167241919454,1.30942
1714167241922726,1.23991
1714167241926849,1.1676
1714167241932843,1.0583
1714167241936735,1.0
1714167241940712,0.93778
1714167241944651,0.94787
1714167241948607,0.917601
1714167241952550,0.90583
1714167241958547,0.896861
1714167241962628,0.92713
1714167241968567,0.942265
1714167241972562,0.960762
1714167241976579,0.977018
1714167241980594,1.05549
1714167241984558,1.11435
1714167241992636,1.11883
1714167241996614,1.17993
1714167242000938,1.27186
1714167242004535,1.32848
1714167242008499,1.35426
1714167242012588,1.41872
1714167242016522,1.53868
1714167242020532,1.64686
1714167242028557,1.73374
1714167242032559,1.85706
1714167242037720,1.85706
1714167242040744,1.98487
1714167242044636,2.04596
1714167242055856,2.21637
1714167242063370,2.27803
1714167242067138,2.30213
1714167242070873,2.35314
1714167242074544,2.3296
1714167242078677,2.35594
1714167242082577,2.3778
1714167242086527,2.36435
1714167242090837,2.33184
1714167242094591,2.34305
1714167242098516,2.32791
1714167242107746,2.29428
1714167242111399,2.27186
1714167242122584,2.20067
1714167242126690,2.1491
1714167242130844,2.12108
1714167242134514,2.07399
1714167242138501,2.02242
1714167242142680,1.96357
1714167242146555,1.93554
1714167242150519,1.84193
1714167242154725,1.76065
1714167242158513,1.69283
1714167242162894,1.63789
1714167242166568,1.58184
1714167242174508,1.37668
1714167242179847,1.33408
1714167242182501,1.29484
1714167242186530,1.26121
1714167242191295,1.17937
1714167242196853,1.18105
1714167242200629,1.19395
1714167242205107,1.17825
1714167242208980,1.2046
1714167242212490,1.26457
1714167242216885,1.28756
1714167242221308,1.40135
1714167242228506,1.47926
1714167242232508,1.50617
1714167242236514,1.56839
1714167242240487,1.64686
1714167242244537,1.68666
1714167242248611,1.73318
1714167242252995,1.77971
1714167242257429,1.81334
1714167242260508,1.90415
1714167242264428,1.92657
1714167242268529,1.97702
1714167242272543,2.0
1714167242278215,2.15022
1714167242284494,2.19002
1714167242288442,2.21581
1714167242292460,2.26738
1714167242296524,2.30269
1714167242301296,2.38397
1714167242304499,2.37444
1714167242308467,2.38845
1714167242312486,2.40303
1714167242316484,2.38285
1714167242320457,2.33072
1714167242324598,2.29428
1714167242328490,2.26738
1714167242332486,2.22365
1714167242336484,2.17881
1714167242340462,2.04316
1714167242344591,2.00168
1714167242348548,1.93442
1714167242357650,1.83969
1714167242360978,1.75561
1714167242364474,1.71076
1714167242368596,1.72422
1714167242373123,1.70235
1714167242379892,1.69507
1714167242382440,1.69395
1714167242386472,1.68722
1714167242391726,1.71357
1714167242394479,1.72365
1714167242398566,1.73262
1714167242402461,1.75336
1714167242408679,1.75841
1714167242412533,1.76794
1714167242416521,1.75336
1714167242420447,1.75729
1714167242424450,1.76233
1714167242428457,1.79484
1714167242432551,1.79316
1714167242436623,1.82455
1714167242444099,1.87892
1714167242448522,1.90695
1714167242452724,1.93722
1714167242456569,1.95067
1714167242460607,2.07399
1714167242464561,2.09809
1714167242472130,2.19451
1714167242476776,2.24496
1714167242480526,2.31614
1714167242484549,2.35706
1714167242488569,2.35538
1714167242492413,2.38621
1714167242496535,2.4148
1714167242500658,2.43666
1714167242504906,2.42096
1714167242508505,2.43722
1714167242516917,2.42433
1714167242520437,2.35874
1714167242524486,2.3324
1714167242528489,2.34137
1714167242532491,2.31951
1714167242536541,2.2898
1714167242540467,2.2528
1714167242544477,2.25561
1714167242548490,2.23655
1714167242552582,2.22422
1714167242558209,2.17152
1714167242572543,2.14238
1714167242576547,2.14238
1714167242580576,2.13285
1714167242584484,2.1222
1714167242588488,2.09753
1714167242592513,2.09697
1714167242599820,2.03363
1714167242602417,2.03083
1714167242606447,1.99944
1714167242610475,1.98487
1714167242614914,1.97926
1714167242618522,1.98374
1714167242622482,1.96469
1714167242630697,2.00673
1714167242634558,2.07791
1714167242643828,2.11827
1714167242646393,2.1491
1714167242650781,2.24944
1714167242654981,2.25056
1714167242660548,2.31839
1714167242666019,2.38565
1714167242668403,2.42489
1714167242679120,2.47197
1714167242682432,2.48094
1714167242688493,2.48487
1714167242694425,2.48879
1714167242698412,2.49383
1714167242702403,2.48094
1714167242706476,2.46132
1714167242710485,2.45179
1714167242715176,2.4389
1714167242720511,2.42265
1714167242725205,2.42433
1714167242728548,2.41368
1714167242733514,2.4148
1714167242736424,2.40191
1714167242740514,2.3778
1714167242744588,2.34473
1714167242749549,2.33464
1714167242752441,2.31222
1714167242756499,2.28812
1714167242767290,2.19451
1714167242771324,2.1278
1714167242776719,2.11547
1714167242780745,2.03027
1714167242784714,2.00504
1714167242788595,1.97141
1714167242793986,1.95404
1714167242796994,1.93217
1714167242800583,1.92209
1714167242804473,1.90919
1714167242808443,1.93217
1714167242813520,1.93666
1714167242816546,1.95291
1714167242841453,2.08688
1714167242844514,2.07567
1714167242848389,2.09193
1714167242852575,2.11379
1714167242856471,2.11211
1714167242860445,2.13117
1714167242864572,2.17489
1714167242868964,2.18274
1714167242872412,2.19226
1714167242877408,2.23374
1714167242880553,2.23655
1714167242884368,2.32904
1714167242888458,2.36827
1714167242892752,2.41087
1714167242896481,2.4417
1714167242903454,2.52859
1714167242907271,2.54204
1714167242910420,2.57791
1714167242914399,2.6222
1714167242918617,2.61603
1714167242922425,2.59585
1714167242926445,2.59641
1714167242930415,2.56446
1714167242934452,2.51065
1714167242938412,2.45123
1714167242942476,2.40863
1714167242946703,2.35034
1714167242950458,2.2472
1714167242954417,2.17881
1714167242958425,2.14126
1714167242962669,2.10538
1714167242966588,2.07343
1714167242970544,1.99608
1714167242974736,1.97309
1714167242978365,1.95011
1714167242983199,1.95852
1714167242986326,1.94226
1714167242990352,1.92881
1714167242994475,1.92489
1714167242998384,1.92209
1714167243002362,1.89854
1714167243006568,1.8907
1714167243010313,1.90527
1714167243014613,1.87276
1714167243018486,1.85146
1714167243023028,1.82623
1714167243026659,1.80774
1714167243030575,1.78083
1714167243034439,1.76121
1714167243038535,1.7657
1714167243042450,1.76906
1714167243048543,1.82007
1714167243052686,1.8509
1714167243056541,1.8778
1714167243060523,1.96861
1714167243064430,2.0426
1714167243068458,2.09585
1714167243073082,2.17321
1714167243076425,2.23599
1714167243080684,2.37948
