ts,t1,t2,stateByte,timeSinceBoot,relayStatusByte,timeSinceCalibration
1717880550147142,0,-112,4,829961480,0,256009804
1717880550304370,0,-112,4,830118709,0,256167033
1717880550457438,0,-112,4,830271775,0,256320099
1717880550559608,0,-112,4,830373903,0,256422227
1717880550712430,0,-168,4,830526765,0,256575089
1717880550914377,0,-168,4,830728716,0,256777040
1717880551017225,0,-168,4,830831563,0,256879887
1717880551174136,0,-168,4,830988474,0,257036798
1717880551325166,0,-168,4,831139502,0,257187826
1717880551426222,0,-168,4,831240559,0,257288883
1717880551583079,0,-168,4,831397418,0,257445742
1717880551740209,-54,-168,4,831554547,0,257602871
1717880551892202,0,-225,4,831706539,0,257754863
1717880552044277,0,-225,4,831858563,0,257906887
1717880552195212,0,-225,4,832009550,0,258057874
1717880552352083,54,-225,4,832166419,0,258214743
1717880552453216,0,-225,4,832267553,0,258315877
1717880552610175,0,-168,4,832424513,0,258472837
1717880552771382,-54,-168,4,832585671,0,258633995
1717880552926096,0,-168,4,832740434,0,258788758
1717880553083124,0,-168,4,832897462,0,258945786
1717880553236080,54,-168,4,833050419,0,259098743
1717880553391371,0,-168,4,833205708,0,259254032
1717880553493437,0,-168,4,833307776,0,259356100
1717880553646432,0,-112,4,833460769,0,259509093
1717880553798085,0,-112,4,833612423,0,259660747
1717880553949486,0,-112,4,833763823,0,259812147
1717880554101435,0,-112,4,833915773,0,259964097
1717880554263101,0,-112,4,834077439,0,260125763
1717880554415085,0,-112,4,834229423,0,260277747
1717880554517362,-54,-112,4,834331672,0,260379996
1717880554669327,0,-112,4,834483630,0,260531954
1717880554821381,0,-112,4,834635684,0,260684008
1717880554978185,0,-112,4,834792524,0,260840848
1717880555134212,-54,-112,4,834948528,0,260996852
1717880555290224,0,-112,4,835104562,0,261152886
1717880555396284,0,-112,4,835210622,0,261258946
1717880555554312,54,-112,4,835368619,0,261416943
1717880555707210,0,-112,4,835521547,0,261569871
1717880555812218,0,-112,4,835626555,0,261674879
1717880556020499,0,-168,4,835834831,0,261883155
1717880556173623,0,-168,4,835987960,0,262036284
1717880556326485,0,-112,4,836140823,0,262189147
1717880556429356,0,-112,4,836243638,0,262291962
1717880556586162,0,-112,4,836400475,0,262448799
1717880556743225,0,-112,4,836557563,0,262605887
1717880556896224,54,-168,4,836710558,0,262758882
1717880557053083,0,-112,4,836867419,0,262915743
1717880557209353,0,-168,4,837023690,0,263072014
1717880557310337,0,-168,4,837124637,0,263172961
1717880557467112,0,-168,4,837281451,0,263329775
1717880557619147,0,-168,4,837433485,0,263481809
1717880557832217,0,-168,4,837646554,0,263694878
1717880557989221,-54,-168,4,837803554,0,263851878
1717880558146361,0,-168,4,837960699,0,264009023
1717880558299401,0,-168,4,838113740,0,264162064
1717880558452151,0,-168,4,838266488,0,264314812
1717880558609168,0,-112,4,838423503,0,264471827
1717880558761222,0,-112,4,838575559,0,264623883
1717880558922139,0,-112,4,838736477,0,264784801
1717880559024143,0,-112,4,838838479,0,264886803
1717880559180220,0,-112,4,838994515,0,265042839
1717880559333126,0,-112,4,839147465,0,265195789
1717880559485129,0,-112,4,839299468,0,265347792
1717880559637096,0,-112,4,839451434,0,265499758
1717880559789101,-54,-112,4,839603439,0,265651763
1717880559942159,0,-112,4,839756498,0,265804822
1717880560100389,0,-112,4,839914677,0,265963001
1717880560307271,0,-112,4,840121563,0,266169887
1717880560459220,0,-112,4,840273558,0,266321882
1717880560565138,0,-168,4,840379476,0,266427800
1717880560717338,0,-168,4,840531660,0,266579984
1717880560926486,-54,-168,4,840740824,0,266789148
1717880561079393,0,-168,4,840893721,0,266942045
1717880561232363,0,-168,4,841046700,0,267095024
1717880561334485,0,-168,4,841148823,0,267197147
1717880561492218,0,-168,4,841306555,0,267354879
1717880561644162,0,-168,4,841458500,0,267506824
1717880561797110,0,-112,4,841611441,0,267659765
1717880561948225,0,-112,4,841762561,0,267810885
1717880562104213,0,-112,4,841918550,0,267966874
1717880562256201,0,-112,4,842070492,0,268118816
